!EXCLAMATION-POINT	EH K S K L AH M EY SH AH N P OY N T
MARCHIONESS(2)	M AA R SH AH N EH S
MARCOS'(2)	M AA R K OW S IH Z
MARDIS(2)	M AA R D IY S
MARGARET'S(2)	M AA R G R IH T S
MARGARET(2)	M AA R G R AH T
MARGARET(3)	M AA R G R IH T
MARGOLIN(2)	M AA R G OW L AH N
MARIANI(2)	M AA R IY AE N IY
MARILYN'S(2)	M EH R AH L IH N Z
MARILYN(2)	M EH R AH L IH N
MARJORIE(2)	M AA R JH R IY
MARJORY(2)	M AA R JH R IY
MARKEDLY(2)	M AA R K IH D L IY
MARKEL(2)	M AA R K EH L
MARKET(2)	M AA R K IH T
MARKETED(2)	M AA R K AH T IH D
MARKETPLACE(2)	M AA R K IH T P L EY S
MARKETS(2)	M AA R K IH T S
MARLIN(2)	M AA R L IH N
MARQUAI(2)	M AA R K EY
MARSAL(2)	M AA R S AA L
MARSALIS(2)	M AA R S AA L IH S
MARSEILLES(2)	M AA R S AY Z
MARSHES(2)	M AA R SH IH Z
MARTIN(2)	M AA R T IH N
MARXIST(2)	M AA R K S IH S T
MASCARENA(2)	M AE K AH R IY N AH
MASCARENAS(2)	M AE K AH R IY N AH Z
MASCOT(2)	M AE S K AA T
MASS.(2)	M AE S AH CH UW S AH T S
MASSES(2)	M AE S IH Z
MASSIF(2)	M AE S IH F
MASTED(2)	M AE S T IH D
MASTERPIECES(2)	M AE S T ER P IY S IH Z
MASTRICH'S(2)	M AA S T R IH K S
MASTRICH(2)	M AA S T R IH K
MATALIN(2)	M AE T L IH N
MATCHES(2)	M AE CH IH Z
MATER(2)	M EY T ER
MATER(3)	M AE T ER
MATEWAN(2)	M EY T W AA N
MATHEMATICALLY(2)	M AE TH AH M AE T IH K L IY
MATHIAS(2)	M AH T IY AH S
MATHILDE(2)	M AH T IH L D
MATION(2)	M EY SH AH N
MATTEREASE(2)	M AH T R IY Z IY
MATTOX(2)	M AE T AA K S
MATTRESSES(2)	M AE T R AH S IH Z
MATURATION(2)	M AE CH UH R EY SH AH N
MATURE(2)	M AH T Y UH R
MATURES(2)	M AH T Y UH R Z
MATURING(2)	M AH T Y UH R IH NG
MATURITY(2)	M AH T Y UH R IH T IY
MAU(2)	M AW
MAUCHER(2)	M AA K ER
MAURICE'S(2)	M AO R IY S AH Z
MAURICE(2)	M AA R IH S
MAURITANIA(2)	M AO R IH T EY N Y AH
MAVERICK'S(2)	M AE V R IH K S
MAVERICK(2)	M AE V R IH K
MAVERICKS(2)	M AE V R IH K S
MAWR(2)	M AA R
MAYFIELD(2)	M EY F IH L D
MAYLE(2)	M EY L IY
MAZDA'S(2)	M AE Z D AH Z
MAZDA(2)	M AE Z D AH
MAZON(2)	M AH Z OW N
MBEKI(2)	AH M B EH K IY
MBEKI(3)	EH M B EH K IY
MC(2)	EH M S IY
MCABEE(2)	M AE K AH B IY
MCAFEE(2)	M AH K AE F IY
MCAFFEE(2)	M AH K AE F IY
MCALEESE'S(2)	M AH K AH L IY S IH Z
MCALEESE(2)	M AH K AH L IY Z IY
MCCABE(2)	M AE K AH B IY
MCCAMBRIDGE(2)	M AH K EY M B R IH JH
MCCLIMANS(2)	M AH K L IH M AH N Z
MCCOLLOUGH(2)	M AH K AA L AW
MCCOMBER(2)	M AH K OW M ER
MCCOMBIE(2)	M AH K OW M IY
MCCONATHY(2)	M AE K AH N AE TH IY
MCELRATH(2)	M AH K EH L R AE TH
MCENTEE(2)	M AH K EH N T IY
MCGOUGH(2)	M AH G AH F
MCHARGUE(2)	M AH K AA R G Y UW
MCILRATH(2)	M AH K IH L R AE TH
MCILROY(2)	M AH K IH L R OY
MCILVAIN(2)	M AH K IH L V EY N
MCILVAINE(2)	M AH K IH L V EY N
MCILVEEN(2)	M AH K IH L V IY N
MCILWAIN(2)	M AH K IH L W EY N
MCLAWHORN(2)	M AH K L AW HH AO R N
MCLEAN'S(2)	M AH K L EY N Z
MCLEAN(2)	M AH K L EY N
MCMAHON(2)	M AH K M AE N
MCMILLIAN(2)	M AH K M IH L AH N
MCPHEARSON(2)	M AH K F IH R S AH N
MCTAVISH(2)	M AH K T AE V IH SH
MCTIER(2)	M AH K T IH R
MCTIERNAN(2)	M AH K T IH R N AH N
MECHANIC(2)	M IH K AE N IH K
MECHEM(2)	M EH CH AH M
MEDDLING(2)	M EH D L IH NG
MEDIAL(2)	M IY D Y AH L
MEDICAL'S(2)	M EH D IH K AH L Z
MEDICAL(2)	M EH D IH K AH L
MEDICALLY(2)	M EH D IH K AH L IY
MEDIEVAL(2)	M IY D IY V AH L
MEDIEVAL(3)	M IH D Y IY V AH L
MEDINA(2)	M AH D IY N AH
MEDIO(2)	M EH D IY OW
MEDULLA(2)	M IH D UW L AH
MEEHANS(2)	M IY AH N Z
MEHAFFEY(2)	M AH HH AE F IY
MEHRABIAN(2)	M ER EY B IY AH N
MEIGHAN(2)	M IY AH N
MEISLER(2)	M AY S L ER
MELANIN(2)	M EH L AH N IH N
MELBOURNE(2)	M EH L B AO N
MELDED(2)	M EH L D IH D
MELOR(2)	M AH L AO R
MELTED(2)	M EH L T IH D
MELTWATER(2)	M EH L T W AO T ER
MEMPHIS(2)	M EH M F IH S
MEMPHIS(3)	M EH M P F AH S
MEMPHIS(4)	M EH M P F IH S
MENACE(2)	M EH N IH S
MENACED(2)	M EH N IH S T
MENACES(2)	M EH N IH S IH Z
MENACHEM(2)	M EH N AH HH EH M
MENDOTA(2)	M EH N D AA T AH
MENSTRUAL(2)	M EH N S T R AH L
MENTALITY(2)	M EH N T AE L IH T IY
MENTALLY(2)	M EH N AH L IY
MENTOR(2)	M EH N T ER
MENTORS(2)	M EH N T AO R Z
MENUHIN(2)	M IH N Y UW IH N
MENZIONE(2)	M EH N Z Y OW N IY
MER(2)	M ER
MERC'S(2)	M AA R K S
MERC(2)	M AA R K
MERCEDES'S(2)	M ER S EY D IY Z IH Z
MERCEDESES(2)	M ER S EY D IY Z
MERCIFULLY(2)	M ER S IH F L IY
MERITOR(2)	M EH R AH T AO R
MERITS(2)	M EH R IH T S
MERMELSTEIN(2)	M ER M AH L S T IY N
MESENCHYMAL(2)	M EH Z EH N K AH M AH L
MESLER(2)	M EH S L ER
MESSAGE(2)	M EH S IH JH
MESSAGES(2)	M EH S IH JH IH Z
MESSENGER(2)	M EH S IH N JH ER
MESSRS.(2)	M IH S UW R Z
METE(2)	M EH T AH
METHAMPHETAMINE(2)	M EH TH AE M F EH T AH M AY N
METHODICAL(2)	M AH TH AA D IH K AH L
METHODICALLY(2)	M AH TH AA D IH K L IY
METHODIST(2)	M EH TH AH D IH S T
METRODOME(2)	M EH T R AH D OW M
MEWAS(2)	M IY W AH S
MEZZALUNA(2)	M EH T S AH L UW N AH
MIASMA(2)	M AY AE Z M AH
MICHAELINE(2)	M AY K AH L IY N
MICHEL'S(2)	M IH CH AH L Z
MICHEL'S(3)	M AY K AH L Z
MICHEL(2)	M IH CH AH L
MICHEL(3)	M AY K AH L
MICHELANGELO'S(2)	M IH K AH L AE N JH AH L OW Z
MICHELANGELO(2)	M IH K AH L AE N JH AH L OW
MICHELANGELOS(2)	M IH K AH L AE N JH AH L OW Z
MICHELIN(2)	M IH SH L AH N
MICHIELS(2)	M IH CH IY L Z
MICROBIOLOGISTS(2)	M AY K R OW B IY AA L AH JH IH S
MICROBIOLOGY(2)	M AY K R AH B AY AA L AH JH IY
MICROSOFT'S(2)	M AY K R OW S AO F S
MIDDLING(2)	M IH D L IH NG
MIDGES(2)	M IH JH IH Z
MIDLANTIC(2)	M IH D L AE N IH K
MIDST(2)	M IH S T
MIKHAIL(2)	M IH K AY L
MILAN(2)	M IH L AA N
MILAN(3)	M AY L AE N
MILEAGE(2)	M AY L IH JH
MILES(2)	M AY AH L Z
MILITARY(2)	M IH L IH T EH R IY
MILITIA'S(2)	M IH L IH SH AH Z
MILITIA(2)	M IH L IH SH AH
MILITIAS(2)	M IH L IH SH AH Z
MILLSTEIN(2)	M IH L S T IY N
MILOSEVIC(2)	M IH L OW S AH V IH CH
MILSTEIN(2)	M IH L S T IY N
MINA(2)	M IH N AH
MINASIAN(2)	M IH N EY ZH IH N
MINDANAO(2)	M IH N D AH N EY OW
MINDED(2)	M AY N D IH D
MINERAL'S(2)	M IH N R AH L Z
MINERAL(2)	M IH N R AH L
MINERALOGICALLY(2)	M IH N ER AH L AA JH IH K L IY
MINERALOGIST(2)	M IH N ER AA L AH JH IH S T
MINERALS'(2)	M IH N R AH L Z
MINERALS(2)	M IH N R AH L Z
MINERVA(2)	M IH N ER V AH
MINET(2)	M AY N AH T
MINGLING(2)	M IH NG G L IH NG
MINIATURE(2)	M IH N IH CH UH R
MINIATURES(2)	M IH N IH CH ER Z
MINISERIES(2)	M IH N IY S EH R IY Z
MINISTER(2)	M IH N IH S T ER
MINISTERS(2)	M IH N IH S T ER Z
MINISTRY(2)	M IH N IH S T R IY
MINOGUE(2)	M AH N OW G IY
MINOLTA(2)	M IH N OW L T AH
MINORITIES(2)	M AH N AO R AH T IY Z
MINORITY(2)	M AH N AO R AH T IY
MINOT(2)	M IH N AA T
MINTAGE(2)	M IH N T IH JH
MINUTE(2)	M AY N UW T
MINUTE(3)	M AY N Y UW T
MIOTKE(2)	M Y AA T K IY
MIRE(2)	M AY ER
MISBEHAVE(2)	M IH S B IY HH EY V
MISBEHAVED(2)	M IH S B IY HH EY V D
MISBEHAVES(2)	M IH S B IY HH EY V Z
MISBEHAVING(2)	M IH S B IY HH EY V IH NG
MISBEHAVIOR(2)	M IH S B IY HH EY V Y ER
MISCHLER(2)	M IH SH L ER
MISCIBLE(2)	M IH S IH B AH L
MISDIAGNOSES(2)	M IH S D AY IH G N OW S AH Z
MISERABLE(2)	M IH Z R AH B AH L
MISERABLES(2)	M IH Z R AH B AH L Z
MISERABLES(3)	M IH Z ER AA B
MISERABLY(2)	M IH Z R AH B L IY
MISIDENTIFICATION(2)	M IH S AY D EH N IH F IH K EY SH AH N
MISIDENTIFIED(2)	M IH S AY D EH N IH F AY D
MISIDENTIFIES(2)	M IH S AY D EH N IH F AY Z
MISIDENTIFY(2)	M IH S AY D EH N AH F AY
MISIDENTIFYING(2)	M IH S AY D EH N AH F AY IH NG
MISLABELING(2)	M IH S L EY B L IH NG
MISOGYNISTS(2)	M IH Z AH JH IH N IH S
MISREAD(2)	M IH S R EH D
MISREPRESENTED(2)	M IH S R EH P R IH Z EH N IH D
MISREPRESENTING(2)	M IH S R EH P R AH Z EH N IH NG
MISREPRESENTS(2)	M IH S R EH P R AH Z EH N S
MISSES(2)	M IH S IH Z
MISSHAPEN(2)	M IH S HH AE P AH N
MISSILDINE(2)	M IH S IH L D AY N
MISSOURI'S(2)	M AH Z ER AH Z
MISSOURI(2)	M AH Z ER AH
MISSPEAK(2)	M IH S P IY K
MISSPELL(2)	M IH S P EH L
MISSPELLED(2)	M IH S P EH L D
MISSPELLING(2)	M IH S P EH L IH NG
MISSPELLS(2)	M IH S P EH L Z
MISSPEND(2)	M IH S P EH N D
MISSPENDING(2)	M IH S P EH N D IH NG
MISSPENT(2)	M IH S P EH N T
MISSPOKE(2)	M IH S P OW K
MISSPOKEN(2)	M IH S P OW K AH N
MISSTATE(2)	M IH S T EY T
MISSTATED(2)	M IH S T EY T IH D
MISSTATEMENTS(2)	M IH S T EY T M AH N S
MISSTATES(2)	M IH S T EY T S
MISSTATING(2)	M IH S T EY T IH NG
MISSTEP(2)	M IH S T EH P
MISSTEPS(2)	M IH S T EH P S
MISTRESSES(2)	M IH S T R AH S IH Z
MISTRUSTFUL(2)	M IH S T R AH S F AH L
MISTRUSTS(2)	M IH S T R AH S
MISTRY(2)	M IH S T R AY
MISUSE(2)	M IH S Y UW S
MISUSES(2)	M IH S Y UW S IH Z
MIT(2)	M IH T
MITI(2)	M IY T IY
MITRE(2)	M AY T ER
MITSUI(2)	M IH T S UW IY
MITTERAND'S(2)	M IY T ER AE N D Z
MITTERAND(2)	M IY T ER AE N D
MITTERRAND(2)	M IY T ER AE N D
MIXES(2)	M IH K S IH Z
MIZEL(2)	M AY Z EH L
MLECKO(2)	M AH L EH K OW
MLOTOK(2)	M AH L AA T AA K
MNEMONIC(2)	N IY M AA N IH K
MNEMONICS(2)	N IY M AA N IH K S
MNOOKIN(2)	M AH N UH K AH N
MOBILITY(2)	M OW B IH L IH T IY
MOBILIZATION(2)	M OW B AH L IH Z EY SH AH N
MODELING(2)	M AA D L IH NG
MODERATE(2)	M AA D ER EY T
MODERATES(2)	M AA D ER EY T S
MODERNIZATION(2)	M AA D ER N AY Z EY SH AH
MODIGLIANI(2)	M OW D IH G L IY AE N IY
MODULATE(2)	M AO JH UW L EY T
MODULATED(2)	M AO JH UW L EY T IH D
MOHIT(2)	M OW HH IH T
MOHNKE(2)	M AA N K IY
MOINES(2)	M OY N
MOISHE(2)	M OY SH IH
MOLDAVIA(2)	M OW L D AA V IY AH
MOLDAVIAN(2)	M OW L D AA V IY AH N
MOLDED(2)	M OW L D IH D
MOLLENKOPF(2)	M AA L AH N K AO F
MOLNAR(2)	M OW L N AA R
MON(2)	M AA N
MONDAY'S(2)	M AH N D EY Z
MONDAY(2)	M AH N D EY
MONDAYS(2)	M AH N D EY Z
MONDRIAN(2)	M AA N D R IY AE N
MONESSEN(2)	M AH N EH S AH N
MONGOLIA(2)	M AA NG G OW L Y AH
MONGOLIAN(2)	M AA NG G OW L Y AH N
MONROEVILLE(2)	M AH N R OW V IH L
MONTANANS(2)	M AO N T AE N AH N Z
MONTBLANC(2)	M OW N T B L AA NG K
MONTEFIORE(2)	M AA N T AH F Y AO R
MONTEREY(2)	M AA N ER EY
MONTERREY(2)	M AA N ER EY
MONTERREY(3)	M AA N T ER R EY
MONTERREY(4)	M AA N ER R EY
MONTEVIDEO(2)	M AA N T AH V IH D EY OW
MONTICELLO(2)	M AA N T IH S EH L OW
MONUMENT(2)	M AA N Y AH M AH N T
MONUMENTAL(2)	M AA N Y AH M EH N AH L
MONUMENTAL(3)	M AA N Y UW M EH N T AH L
MONUMENTALLY(2)	M AA N Y UW M EH N T AH L IY
MONUMENTALLY(3)	M AA N Y AH M EH N AH L IY
MONUMENTALLY(4)	M AA N Y UW M EH N AH L IY
MONUMENTS(2)	M AA N Y UW M AH N T S
MOORCO(2)	M AO R K OW
MOORE'S(2)	M AO R Z
MOORE(2)	M AO R
MOOREFIELD(2)	M UH R F IY L D
MOORINGS(2)	M AO R IH NG Z
MOPED(2)	M OW P EH D
MORALES(2)	M AO R AE L EH S
MORASS(2)	M AO R AE S
MORASSES(2)	M AO R AE S IH Z
MORAY(2)	M AO R EY
MORAYS(2)	M AO R EY Z
MOREFIELD(2)	M AO R F IY L D
MOREHART(2)	M AO R HH AA R T
MORELOCK(2)	M AO R L AA K
MORENO(2)	M AO R EY N OW
MORES(2)	M AO R IY Z
MORMONISM(2)	M AO R M AH N IH Z AH M
MORPHONIOS(2)	M AO R F AO N IY OW S
MORRICONE'S(2)	M AO R AH K OW N IY Z
MORRICONE(2)	M AO R AH K OW N IY
MORRIS(2)	M AO R IH S
MORROW(2)	M AO R OW
MORTGAGE(2)	M AO R G IH JH
MORTGAGES(2)	M AO R G IH JH IH Z
MOSCOW'S(2)	M AA S K OW Z
MOSCOW(2)	M AO S K AW
MOSES(2)	M OW Z IH S
MOSHE'S(2)	M OW SH AH Z
MOSHE(2)	M OW SH AH
MOSHUS(2)	M UW SH AH S
MOSIER(2)	M OW Z IY ER
MOSLER(2)	M AA S L ER
MOSQUE(2)	M AO S K
MOSQUES(2)	M AO S K S
MOSSAD(2)	M OW S AA D
MOSSES(2)	M AO S IH Z
MOST(2)	M OW S
MOSTLY(2)	M OW S L IY
MOTO(2)	M AA T OW
MOTORCYCLIST(2)	M OW T ER S AY K L IH S T
MOTORCYCLISTS(2)	M OW T ER S AY K L IH S
MOTORISTS(2)	M OW T ER IH S T S
MOTTLING(2)	M AA T L IH NG
MOUNTED(2)	M AW N T IH D
MOUNTED(3)	M AW N IH D
MOUNTIES(2)	M AW N IY Z
MOUSSORGSKY(2)	M UW Z AO R G S K IY
MOZAMBIQUE(2)	M OW Z AH M B IY K
MOZART'S(2)	M OW T S AA R T S
MOZART(2)	M OW T S AA R T
MOZARTEAN(2)	M OW T Z AA R T IY AH N
MPG(2)	M AY L Z P ER G AE L AH N
MPH(2)	M AY L Z P ER AW ER
MT(2)	EH M T IY
MUBARAK'S(2)	M Y UW B AA R IH K S
MUBARAK(2)	M Y UW B AA R IH K
MUCKLEROY(2)	M AH K AH L R OY
MUDDLEHEADED(2)	M AH D AH L HH EH D IH D
MUDDLING(2)	M AH D L IH NG
MUFFLING(2)	M AH F AH L IH NG
MULLENIX(2)	M AH L AH N IH K S
MULTIBILLION(2)	M AH L T IY B IH L Y AH N
MULTICANDIDATE(2)	M AH L T IY K AE N D AH D AH T
MULTIFAMILY(2)	M AH L T IY F AE M L IY
MULTILATERAL(2)	M AH L T IY L AE T ER AH L
MULTILATERALISM(2)	M AH L T IH L AE T ER AH L IH Z M
MULTILATERALLY(2)	M AH L T IY L AE T ER AH L IY
MULTILEVEL(2)	M AH L T IY L EH V AH L
MULTILINGUAL(2)	M AH L T AY L IH NG W AH L
MULTIMEDIA'S(2)	M AH L T AY M IY D IY AH Z
MULTIMEDIA(2)	M AH L T AY M IY D IY AH
MULTIMILLION(2)	M AH L T IY M IH L Y AH N
MULTIMILLIONAIRE(2)	M AH L T AY M IH L Y AH N EH R
MULTIMILLIONAIRES(2)	M AH L T AY M IH L Y AH N EH R Z
MULTINATIONAL(2)	M AH L T IY N AE SH AH N AH L
MULTINATIONALS(2)	M AH L T IY N AE SH AH N AH L Z
MULTITUDE(2)	M AH L T AH T Y UW D
MULVEHILL(2)	M AH L V IH HH IH L
MULVIHILL(2)	M AH L V IH HH IH L
MUMBLING(2)	M AH M B L IH NG
MUNICIPALLY(2)	M Y UW N IH S IH P L IY
MUNNI(2)	M AH N IY
MURRAY(2)	M AH R IY
MUSCLING(2)	M AH S L IH NG
MUSES(2)	M Y UW Z IH Z
MUSHA(2)	M UW SH AH
MUSKOPF(2)	M AH S K AO F
MUSLIM(2)	M AH Z L IH M
MUSLIMS(2)	M AH Z L IH M Z
MUTI(2)	M Y UW T IY
MUTILATED(2)	M Y UW T AH L EY T IH D
MYNATT(2)	M AY N AH T
MYSTERIOUSLY(2)	M IH S T IH R Y AH S L IY
MYTHICAL(2)	M IH TH IH K AH L
NABI(2)	N EY B IY
NACHO(2)	N AA CH OW
NACHOS(2)	N AE CH OW Z
NADIA(2)	N AA D Y AH
NADLER(2)	N EY D L ER
NAHM(2)	N AA M
NAISBITT(2)	N EY Z B IH T
NAISH(2)	N EY SH
NAISMITH(2)	N EY S M IH TH
NANO(2)	N AE N OW
NANOGRAM(2)	N AE N OW G R AE M
NANOS(2)	N AE N OW Z
NAPOLEON(2)	N AH P OW L Y AH N
NAQVI(2)	N AA K V IY
NARRATIVE(2)	N EH R AH T IH V
NARRATIVES(2)	N EH R AH T IH V Z
NARROW(2)	N AE R OW
NATAL(2)	N AH T AA L
NATASHA'S(2)	N AH T AE SH AH Z
NATASHA(2)	N AH T AE SH AH
NATIONAL'S(2)	N AE SH N AH L Z
NATIONAL(2)	N AE SH N AH L
NATIONALE(2)	N AE SH AH N AH L
NATIONALIST(2)	N AE SH AH N AH L IH S T
NATIONALIST(3)	N AE SH N AH L AH S T
NATIONALIST(4)	N AE SH N AH L IH S T
NATIONALISTIC(2)	N AE SH N AH L IH S T IH K
NATIONALISTS(2)	N AE SH N AH L IH S T S
NATIONALISTS(3)	N AE SH AH N AH L IH S
NATIONALISTS(4)	N AE SH N AH L IH S
NATIONALITY(2)	N AE SH AH N AE L IH T IY
NATIONALIZATION(2)	N AE SH N AH L AH Z EY SH AH N
NATIONALIZATIONS(2)	N AE SH N AH L AH Z EY SH AH N Z
NATIONALIZE(2)	N AE SH N AH L AY Z
NATIONALIZED(2)	N AE SH N AH L AY Z D
NATIONALIZES(2)	N AE SH N AH L AY Z IH Z
NATIONALIZING(2)	N AE SH N AH L AY Z IH NG
NATIONALLY(2)	N AE SH N AH L IY
NATIONALS(2)	N AE SH N AH L Z
NATIONSBANC'S(2)	N EY SH AH N Z B AA NG K S
NATIONSBANC(2)	N EY SH AH N Z B AA NG K
NATURAL'S(2)	N AE CH R AH L Z
NATURAL(2)	N AE CH R AH L
NATURALISM(2)	N AE CH R AH L IH Z AH M
NATURALIST(2)	N AE CH R AH L AH S T
NATURALISTIC(2)	N AE CH R AH L IH S T IH K
NATURALISTS(2)	N AE CH R AH L IH S T S
NATURALISTS(3)	N AE CH ER AH L IH S
NATURALISTS(4)	N AE CH R AH L IH S
NATURALIZATION(2)	N AE CH R AH L AH Z EY SH AH N
NATURALIZE(2)	N AE CH R AH L AY Z
NATURALIZED(2)	N AE CH R AH L AY Z D
NATURALIZES(2)	N AE CH R AH L AY Z IH Z
NATURALIZING(2)	N AE CH R AH L AY Z IH NG
NATURALLY(2)	N AE CH R AH L IY
NAVAJO(2)	N AE V AH HH OW
NAVAJOS(2)	N AE V AH HH OW Z
NE(2)	N AO R TH IY S T
NE(3)	EH N IY
NE(4)	N EY
NECESSITY(2)	N AH S EH S IH T IY
NECROLOGISTS(2)	N AH K R AO L AH JH IH S
NEDLLOYD(2)	N EH D L OY D
NEDVED(2)	N EH D V EH D
NEEDED(2)	N IY D IH D
NEEDLER(2)	N IY D L ER
NEGATED(2)	N IH G EY T AH D
NEGENT(2)	N EH JH AH N T
NEGLECT(2)	N IH G L EH K T
NEGLECTED(2)	N IH G L EH K T IH D
NEGLIGENCE(2)	N EH G L IH JH AH N S
NEGLIGENT(2)	N EH G L IH JH AH N T
NEGLIGIBLE(2)	N EH G L IH JH AH B AH L
NEGOTIATE(2)	N IH G OW SH IY EY T
NEGOTIATED(2)	N IH G OW SH IY EY T IH D
NEGOTIATIONS(2)	N IH G OW SH IY EY SH AH N Z
NEGOTIATOR(2)	N IH G OW SH IY EY T ER
NEIDLINGER(2)	N IY D L IH NG ER
NEISLER(2)	N AY S L ER
NEITHER(2)	N AY DH ER
NEOPRENE(2)	N IY OW P R IY N
NEPL(2)	EH N IY P IY EH L
NESLER'S(2)	N EH S L ER Z
NESLER(2)	N EH S L ER
NESTED(2)	N EH S T IH D
NESTLE'S(2)	N EH S L IY Z
NESTLE(2)	N EH S L IY
NESTLER(2)	N EH S L ER
NESTLING(2)	N EH S L IH NG
NESTLINGS(2)	N EH S L IH NG Z
NEUKIRCHEN(2)	N UW K IH R CH AH N
NEURAL(2)	N Y UH R AH L
NEUROPATHY(2)	N UH R AO P AH TH IY
NEUROPATHY(3)	N Y UH R OW P AE TH IY
NEUROSCIENTIST(2)	N Y UH R OW S AY AH N IH S T
NEVADA'S(2)	N AH V AA D AH Z
NEVADA(2)	N AH V AE D AH
NEVERLAND(2)	N EH V ER L AH N D
NEW(2)	N Y UW
NEW-ORLEANS(2)	N Y UW AO R L IY N Z
NEWARK(2)	N Y UW ER K
NEWORLD(2)	N UW ER L D
NEWS(2)	N Y UW Z
NEWSMAN(2)	N UW Z M AH N
NEXT(2)	N EH K S
NEXTSTEP(2)	N EH K S T EH P
NG(2)	IH NG
NGAI(2)	EH N G AY
NGHI(2)	EH N G IY
NIACIN(2)	N AY AH S IH N
NIBBLING(2)	N IH B L IH NG
NICE(2)	N IY S
NICHOLAS'(2)	N IH K L AH S
NICHOLAS'S(2)	N IH K L AH S IH Z
NICHOLAS(2)	N IH K L AH S
NICOLETTI(2)	N IH K AH L EH T IY
NIE(2)	N AY
NIEBLING(2)	N IY B L IH NG
NIEHAUS(2)	N AY HH AW S
NIETO'S(2)	N IY AH T OW Z
NIETO(2)	N IY AH T OW
NIFEDIPINE(2)	N AH F EH D AH P IY N
NIHAY(2)	N IY HH EY
NIKES(2)	N AY K IY Z
NIKITA(2)	N AH K IY T AH
NIKKEI(2)	N IY K EY
NIKKEI(3)	N AY K IY
NINO(2)	N IY N Y OW
NINOS(2)	N IY N Y OW Z
NIRVANA'S(2)	N ER V AA N AH Z
NIRVANA(2)	N ER V AA N AH
NIRVANAS(2)	N ER V AA N AH Z
NITROGLYCERIN(2)	N AY T R AH G L IH S ER AH N
NITROGLYCERIN(3)	N AY CH R AH G L IH S ER AH N
NITROGLYCERINE(2)	N AY T R AH G L IH S ER AH N
NITROGLYCERINE(3)	N AY CH R AH G L IH S ER AH N
NITTA(2)	N IY T AH
NITZSCHE(2)	N IH T SH
NOAA(2)	EH N OW EY EY
NOBODIES(2)	N OW B AH D IY Z
NOBODY'D(2)	N OW B AH D IY D
NOBODY'S(2)	N OW B AH D IY Z
NOBODY(2)	N OW B AH D IY
NODDED(2)	N AA D IH D
NOMINATE(2)	N AA M AH N EY T
NOMINATES(2)	N AA M AH N AH T S
NOMURA'S(2)	N UW M ER AH Z
NONFINANCIAL(2)	N AA N F AY N AE N SH AH L
NONRESIDENTIAL(2)	N AA N R EH Z AH D EH N CH AH L
NONRESTRICTED(2)	N AA N R IY S T R IH K T AH D
NONWHITE(2)	N AA N HH W AY T
NONWHITES(2)	N AA N HH W AY T S
NORDLING(2)	N AO R D L IH NG
NORMALLY(2)	N AO R M L IY
NORODOM(2)	N AO R AH D AH M
NOSAIR'S(2)	N OW S EY R Z
NOSAIR(2)	N OW S EY R
NOTCHES(2)	N AA CH IH Z
NOTEBOOM(2)	N UW T IH B UW M
NOTED(2)	N OW T IH D
NOTHSTEIN(2)	N AA TH S T AY N
NOTICE(2)	N OW T IH S
NOTICES(2)	N OW T IH S IH Z
NOTRE(2)	N OW T ER
NOVI(2)	N OW V AY
NOVICK(2)	N AA V IH K
NOWHERE(2)	N OW HH W EH R
NULAND(2)	N UW L AH N D
NUMERICAL(2)	N UW M EH R IH K AH L
NURSES'(2)	N ER S IH Z
NURSES(2)	N ER S IH Z
NUSBAUM(2)	N AH S B AA M
NUSSBAUM'S(2)	N AH S B AA M Z
NUSSBAUM(2)	N AH S B AA M
NUTRI(2)	N UW T R IH
NUTRITIONALLY(2)	N UW T R IH SH N AH L IY
NYCUM(2)	N AY K AH M
NYGREN(2)	N AY G R EH N
NYLANDER(2)	N AY L AH N D ER
O'CARROLL(2)	OW K EH R AH L
O'DIORNE(2)	OW D Y AO R N
O'DOHERTY(2)	OW D OW ER T IY
O'DONOGHUE(2)	OW D AA N AH HH Y UW
O'DOUGHERTY(2)	OW D AA ER T IY
O'FLAHERTY(2)	OW F L EY ER T IY
O'HAGAN(2)	OW HH EY G AH N
O'MEARA(2)	OW M AA R AH
O'NUTS(2)	AH N AH T S
OATHS(2)	OW TH S
OBEDIENTLY(2)	OW B IY D Y AH N T L IY
OBESE(2)	AH B IY S
OBESITY(2)	AH B IY S AH T IY
OBJECT(2)	AH B JH EH K T
OBJECTS(2)	AH B JH EH K T S
OBLAK(2)	OW B L AE K
OBLINGER(2)	OW B L IH NG ER
OBSCENE(2)	AH B S IY N
OBSCENELY(2)	AA B S IY N L IY
OBSTRUCTIONIST(2)	AH B S T R AH K SH AH N IH S T
OBSTRUCTIONISTS(2)	AH B S T R AH K SH AH N IH S T S
OBUCHOWSKI(2)	OW B UW K AW S K IY
OBUCHOWSKI(3)	OW B UW CH OW S K IY
OCARROLL(2)	OW K EH R AH L
OCCASIONALLY(2)	AH K EY ZH N AH L IY
OCCASIONALLY(3)	AH K EY ZH AH N L IY
OCCIDENTAL'S(2)	AA K S AH D EH N AH L Z
OCCIDENTAL(2)	AA K S AH D EH N AH L
OCHOA(2)	OW CH OW AH
OCHS(2)	OW K S
ODDI(2)	OW D IY
ODOHERTY(2)	OW D OW ER T IY
ODONOGHUE(2)	OW D AA N AH HH UW
OETTINGER(2)	OW T IH NG ER
OEUVRE(2)	ER V
